URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/refmart/CodeSystems/REF_COUNTRY,1.1.6,draft,,RefMartCountryList,WHO RefMart Jurisidiction List,"CodeSystem for WHO Refmart Country and Jurisidiction List available at https://xmart-api-public.who.int/REFMART/REF_COUNTRY for Production environment",
http://smart.who.int/trust/CodeSystem/Actors,1.1.6,active,,Actors,WHO GDHCN Trust Actors CodeSystem,"CodeSystem for SMART Trust actors that has usage codes for verification keys published to the Trust Network as defined by the [certificate governance](concepts_certificate_governance.html)",
http://smart.who.int/trust/CodeSystem/ConnectionTypes,1.1.6,active,,ConnectionTypes,WHO GDHCN Connection Types,"CodeSystem for GDHCN connection types",
http://smart.who.int/trust/CodeSystem/Domains,1.1.6,draft,,Domains,WHO GDHCN Trust Domains,"CodeSystem for define WHO GDHCN Trust Domains for Production environment.",
http://smart.who.int/trust/CodeSystem/Domains-DEV,1.1.6,draft,,Domains-DEV,WHO GDHCN Trust Domains - DEV,"CodeSystem for define WHO GDHCN Trust Domains for Development environment.",
http://smart.who.int/trust/CodeSystem/Domains-UAT,1.1.6,draft,,Domains-UAT,WHO GDHCN Trust Domains - UAT,"CodeSystem for define WHO GDHCN Trust Domains for User Acceptance Testing environment.",
http://smart.who.int/trust/CodeSystem/KeyUsage,1.1.6,active,,KeyUsage,WHO GDHCN Key Usage CodeSystem,"CodeSystem for GDHCN Key Usage that has usage codes for verification keys published to the Trust Network as defined by the [certificate governance](concepts_certificate_governance.html) for Production environment",
http://smart.who.int/trust/CodeSystem/KeyUsage-DEV,1.1.6,active,,KeyUsage-DEV,WHO GDHCN Key Usage CodeSystem - DEV,"CodeSystem for GDHCN Key Usage that has usage codes for verification keys published to the Trust Network as defined by the [certificate governance](concepts_certificate_governance.html) for Development environment",
http://smart.who.int/trust/CodeSystem/KeyUsage-UAT,1.1.6,active,,KeyUsage-UAT,WHO GDHCN Key Usage CodeSystem - UAT,"CodeSystem for GDHCN Key Usage that has usage codes for verification keys published to the Trust Network as defined by the [certificate governance](concepts_certificate_governance.html) for User Acceptance Testing environment",
http://smart.who.int/trust/CodeSystem/Participants,1.1.6,active,,Participants,WHO GDHCN Trust Network Participants CodeSystem,"CodeSystem for GDHCN Trust Network Participants which are not already included in the ISO-3166 three letter code system for Production environment",
http://smart.who.int/trust/CodeSystem/PayloadTypes,1.1.6,active,,PayloadTypes,WHO GDHCN Payload Types,"CodeSystem for GDHCN Payload types",
http://smart.who.int/trust/CodeSystem/Transactions,1.1.6,active,,Transactions,WHO GDHCN Transactions CodeSystem,"CodeSystem for GDHCN transactions that has usage codes for verification keys published to the Trust Network as defined by the [certificate governance](concepts_certificate_governance.html)",
http://smart.who.int/trust/CodeSystems/Participants-DEV,1.1.6,draft,,Participants-DEV,WHO GDHCN Trust Network Participant - DEV,"CodeSystem for GDHCN Trust Network Participants for Development environment",
http://smart.who.int/trust/CodeSystems/Participants-UAT,1.1.6,draft,,Participants-UAT,WHO GDHCN Trust Network Participant - UAT,"CodeSystem for GDHCN Trust Network Participants for User Acceptance Testing environment",
